"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1049",2020-07-11,"Spain",884,266736,17248615.7698708,255557.607312442,33790838.2179317,7736.22062302092,0.0869716471524613,28416.3219189829,215.15004273877,22006.9183719231,1,29435,449029.299241976,2952.14668889663,1130461.70358349,395.987535404513,0.16292838438786,1040.32189584171,177.428790197427,827.122869323636,0.500378931215582,0.25727564927643,0.709877096592407,0.410507562194129,0.698499932726422
"1050",2020-07-12,"Spain",859,267595,17255980.3206174,255557.681747077,33817925.3942238,7364.55074661345,0.0744346350710692,27087.1762920778,192.856439786849,20953.2199481417,1,29436,449403.281943527,2952.2895696463,1131461.87426076,373.982701551416,0.142880749671705,1000.17067727745,159.515907085001,794.60343715098,0.500227869387277,0.257275648795104,0.709346215457501,0.410503210765281,0.698080954438333
"1051",2020-07-13,"Spain",1376,268971,17262991.0655114,255557.745451909,33843743.6133605,7010.74489395776,0.0637048319080166,25818.2191366775,172.872801211514,19948.8387281551,1,29437,449756.545796058,2952.41461857542,1132422.76286323,353.26385253115,0.125048929120665,960.888602466941,143.343902589807,762.851246055796,0.500084067105708,0.257275648383161,0.708897249338974,0.410499312649429,0.697650415687525
"1052",2020-07-14,"Spain",1507,270478,17269665.0057029,255557.799973628,33868350.5234365,6673.9401915314,0.0545217187555063,24606.9100760437,154.959793482803,18991.5740113908,3,29440,450090.318190649,2952.52405673317,1133345.29734003,333.772394590792,0.109438157745464,922.534476795707,129.100792752511,731.907961931812,0.499947174994537,0.2572756480306,0.708458961122564,0.410495820623801,0.697257508380408
"1053",2020-07-15,"Spain",1831,272309,17276018.3222762,255557.846636026,33891801.3228825,6353.31657330232,0.0466623982755511,23450.7994459498,138.902876854564,18079.3138699714,4,29444,450405.752585264,2952.61975698448,1134230.48651416,315.434394614911,0.0957002513152428,885.189174134791,115.88269500454,701.833222696187,0.499816860610272,0.25727564772886,0.708038665807169,0.410492692384656,0.696883347051659
"1054",2020-07-16,"Spain",1703,274012,17282066.4162749,255557.886572074,33914148.8477878,6048.09399863685,0.039936048283183,22347.5249052701,124.509738236789,17210.0309900232,3,29447,450703.904989228,2952.70332995544,1135080.58564346,298.152403964159,0.0835729709569143,850.09912929398,103.945138106594,672.63698066068,0.4996928075962,0.257275647470616,0.707637647903025,0.410489890034951,0.696527056115479
"1055",2020-07-17,"Spain",2028,276040,17287823.9464912,255557.920751334,33935443.6571071,5757.53021637301,0.0341792599085945,21294.8093193725,111.607989225137,16381.7797047345,4,29451,450985.81192402,2952.77627810913,1135897.24274679,281.906934791609,0.0729481536865128,816.657103335757,93.2519058335752,644.351986301848,0.499574714891672,0.257275647249597,0.707255044914573,0.410487379625343,0.696187799104297
"1056",2020-07-18,"Spain",1800,277840,17293304.8663332,255557.950003653,33955734.1197808,5480.91984194099,0.029252319075706,20290.4626736401,100.043100608972,15592.696557678,0,29451,451252.430931732,2952.83986258264,1136681.37843371,266.619007711786,0.0635844735109353,784.135686914396,83.8669152327371,616.957226530623,0.49946229598602,0.257275647060438,0.706890030982223,0.410485130742987,0.695864777113949
"1057",2020-07-19,"Spain",1587,279427,17298522.4579417,255557.975039251,33975066.4968228,5217.59160857219,0.0250355979795175,19332.377042068,89.6765537489561,14840.9950577125,0,29451,451504.637810364,2952.89527157275,1137432.89461627,252.206878632489,0.0554089901125386,751.516182562525,76.0694431360034,590.487729789381,0.49935527819155,0.257275646898546,0.706541815471109,0.410483116143182,0.695557227235238
"1058",2020-07-20,"Spain",2328,281755,17303489.3648213,255557.996465964,33993485.0223383,4966.90687957671,0.0214267130695986,18418.5255154331,80.384181635484,14124.9638867577,2,29453,451743.282335507,2952.94354658961,1138152.29147963,238.64452514265,0.0482750168645953,719.39686336387,68.3567954477028,564.933936818402,0.49925340197088,0.25727564675999,0.706209641648689,0.410481311419362,0.695264421085198
"1059",2020-07-21,"Spain",2350,284105,17308217.6228773,255558.014804016,34011031.9826723,4728.25805599782,0.0183380512450058,17546.9603340539,72.0546820545992,13442.9645131261,2,29455,451969.140790977,2952.98552544581,1138840.38398846,225.858455470486,0.0419788561918253,688.092508828162,61.4121919659716,540.287139327552,0.499156420294084,0.257275646641408,0.705892785381829,0.410479694707459,0.694985663370952
"1060",2020-07-22,"Spain",2388,286493,17312718.6898512,255558.030498646,34027747.7932717,4501.0669738774,0.015694630308789,16715.8105994004,64.5882849015077,12793.4285215971,2,29457,452182.962687474,2953.02203780589,1139498.36727572,213.821896497049,0.0365123600796218,657.983287262568,55.1875575687179,516.557180900299,0.499064098027596,0.257275646539919,0.705590553866425,0.41047824642106,0.694720290497892
"1061",2020-07-23,"Spain",2268,288761,17317003.4731708,255558.043930897,34043671.0729751,4284.78331964825,0.0134322515841579,15923.2797033496,57.8955576353395,12174.8547720178,3,29460,452385.425126099,2953.05377131408,1140128.13804902,202.4624386242,0.0317335081941662,629.770773298958,49.5732539744972,493.71334032833,0.498976211354973,0.257275646453059,0.705302284396304,0.410476949014147,0.694467669227847
"1062",2020-07-24,"Spain",2519,291280,17321082.3566495,255558.055426896,34058837.671832,4078.88347870259,0.0114959980705885,15166.5988569506,51.8963339130908,11585.8076508503,3,29463,452577.175628264,2953.0813172109,1140730.72618475,191.750502165266,0.0275458968234041,602.588135725202,44.5233381263771,471.753794914222,0.498892547229108,0.25727564637872,0.705027343175783,0.410475786768551,0.694168748097568
"1063",2020-07-25,"Spain",2073,293353,17324965.2256799,255558.065265751,34073282.6839414,3882.86903039345,0.00983885514623399,14445.0121094115,46.518753861365,11024.9140855254,1,29464,452758.82810026,2953.10521929231,1141307.12743116,181.652471996332,0.0239020814104244,576.401246414237,40.0042541594219,450.675370936465,0.498812902847432,0.257275646315097,0.704765124154475,0.410474745603544,0.693881821443316
"1064",2020-07-26,"Spain",1888,295241,17328661.4912652,255558.07368634,34087039.1920269,3696.26558524134,0.008420588911509,13756.5080854236,41.6984033479362,10490.8614202298,1,29465,452930.955512213,2953.12595646965,1141858.34915704,172.127411952992,0.0207371773379873,551.221725876241,35.9399439253828,430.650415026216,0.498737085156881,0.257275646260645,0.704515047910362,0.410473812905265,0.693608728125628
"1065",2020-07-27,"Spain",3010,298251,17332180.1128591,255558.080893106,34100135.5157436,3518.62159393401,0.00720676624957959,13096.3237167315,37.3775425597414,9982.39506314132,0,29465,453094.078442961,2953.14392879377,1142385.14434652,163.122930747366,0.017972324114219,526.795189486312,32.2686400959709,411.413791862347,0.498664910381961,0.257275646214042,0.704276560564376,0.410472977373913,0.693348811246858
"1066",2020-07-28,"Spain",3142,301393,17335953.2397748,255558.09024618,34113950.404798,3773.126915704,0.00935307377062073,13814.8890543802,124.622344228491,10544.6275009174,2,29467,453248.702763601,2953.1595008257,1142888.34433526,154.624320640681,0.0155720319371413,503.199988733959,28.999424375565,392.94921577429,1.07945372163548,0.390138639019975,1.57651625292165,0.769322345010788,1.49571619548416
"1067",2020-07-29,"Spain",3200,304593,17339548.6587054,255558.098273794,34127119.8404547,3595.41893056809,0.00802761422208007,13169.4356567593,114.131478903528,10047.4566887795,5,29472,453395.303229922,2953.17298406116,1143368.90476348,146.60046632045,0.0134832354548487,480.560428225183,26.0739425584101,375.134069922204,1.07936774239065,0.390138638941481,1.57650581078793,0.769103595548169,1.49570291205602
"1068",2020-07-30,"Spain",3141,307734,17342993.0562569,255558.105227168,34139731.3997809,3444.39755151566,0.00695337384462578,12611.5593262041,111.328299542217,9613.1580978997,2,29474,453534.318152904,2953.18465166064,1143827.74481005,139.014922981824,0.0116675994824877,458.840046569228,23.429920095692,357.950787394132,1.07928595528462,0.39013863887411,1.57649622186995,0.768895157672442,1.49569070381011
"1069",2020-07-31,"Spain",3620,311354,17346307.415306,255558.111306078,34151851.4314272,3314.35904909968,0.0060789099440849,12120.0316462572,113.769116972699,9229.36145111337,2,29476,453666.168623201,2953.19474692026,1144265.76948917,131.850470297235,0.0100952596165359,438.024679116221,21.0560923745685,341.612702231187,1.0792075262693,0.390138638815754,1.5764868068613,0.768695711767613,1.49567876997256
